"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2012",0.477,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2012",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2012",0.211,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2011",0.561,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2011",0.182,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2011",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2011",0.122,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2003",0.579,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2003",1.184,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2003",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2003",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2002",0.795,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2002",1.532,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2002",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2002",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2001",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2001",0.665,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
